filename,file_path,size_bytes,duration_seconds,bitrate,title,artist,album,album_artist,year,date,genre,track_number,disc_number,composer,publisher,copyright,bpm,isrc,comment,lyrics,label,catalog_number,has_cover_art,cover_art_url
217HALO - Golden Hour.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,6287087,196,256000,217HALO - Golden Hour [Official Music Video],divaria,,,2026,2026-04-21 13:17:00,,,,,,,,,,,,,yes,
238500.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,7468076,185,320000,2 People - Highpass Deep Mix,Navara,2 People,,,,,1,1,,,,,,,,,,yes,
238501.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238501.mp3,4941666,122,320000,Acapulco,"Niklas Dee, RushLow, J R",Acapulco,,,,,1,1,,,,,,,,,,yes,
238502.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238502.mp3,5548022,137,320000,Addicted To Your Love,"MRLN, Robbie Hutton, Anzo Gronso",Addicted To Your Love,,,,,1,1,,,,,,,,,,yes,
238503.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238503.mp3,7228494,180,320000,Afterglow,"Hitkend House Lab, KASB",Afterglow,,,,,1,1,,,,,,,,,,yes,
238504.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238504.mp3,7077415,176,320000,All I Want Is You,exclap,All I Want Is You,,,,,1,1,,,,,,,,,,yes,
238505.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238505.mp3,6587852,164,320000,Alone,"Vowed, Britt Lari",Alone,,,,,1,1,,,,,,,,,,yes,
238506.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238506.mp3,5949836,148,320000,Alone w u,Modern Culture,Alone w u,,,,,1,1,,,,,,,,,,yes,
238507.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238507.mp3,6700294,166,320000,Amsterdam,"EQRIC, Britt Lari",Amsterdam,,,,,1,1,,,,,,,,,,yes,
238508.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238508.mp3,7610050,189,320000,Angel (feat. Clementine Douglas),"Sonny Fodera, Clementine Douglas",Angel (feat. Clementine Douglas),,,,,1,1,,,,,,,,,,yes,
238509.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238509.mp3,5824322,144,320000,Anyway,Cymo,Anyway,,,,,1,1,,,,,,,,,,yes,
238510.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238510.mp3,6662342,165,320000,Around The World,Vowed,Around The World,,,,,1,1,,,,,,,,,,yes,
238511.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238511.mp3,7033652,174,320000,At My Worst,"Vanessa Campagna, DJ Goja, Tabba",At My Worst,,,,,1,1,,,,,,,,,,yes,
238512.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238512.mp3,7101338,176,320000,Bad Together,"Lucas Estrada, Bhaskar, Pawl",Bad Together,,,,,1,1,,,,,,,,,,yes,
