title,album,artist,time,genre,tempo,filename,year,language,isDL,label,vocal,instrumental,tag
Tot je weer van me houdt,Brood voor Morgenvroeg,Bart Peeters,"=""00:04:03""",Pop,86,Bart Peeters - Tot je weer van me houdt.mp3,2017,English,1,Bart Peeters,1,0,"Folk,Indie,Country,Mainstream,All Weather,All Season,Youth/adult"
I Wonder If You Know,Long Play Collection: 7 Original Albums on CD,"Alok, Something Else","=""00:03:14""",Electronic,123,"Alok, Something Else – I Wonder If You Know.mp3",2012,English,1,The Louvin Brothers,1,0,"Chillout,Rainy,All Season"
Nacht In Amsterdam,Nacht In Amsterdam,Bazart,"=""00:02:51""",Pop,94,Bazart - Nacht In Amsterdam.mp3,2026,English,1,"Echo, Echo",1,0,"Mainstream,All Weather,All Season,Youth/adult"
Ademnood,Magie,Camille,"=""00:03:28""",Pop,143,Camille - Ademnood.mp3,2023,English,1,Camille,1,0,"Electronic,Energetic,All Weather,All Season,Youth/adult"
Geen Tranen Meer Over,SOS,Camille,"=""00:03:20""",Pop,163,Camille - Geen Tranen Meer Over.mp3,2022,English,1,Camille,1,0,"Dance,Electronic,Upbeat,All Weather,All Season,Youth/adult"
In De Regen,SOS,Camille,"=""00:03:35""",Pop,156,Camille - In De Regen.mp3,2022,English,1,Camille,1,0,"Electronic,Dance,Upbeat,All Weather,All Season,Youth/adult"
Insomnia,Magie,Camille,"=""00:03:00""",Pop,98,Camille - Insomnia.mp3,2023,English,1,Camille,1,0,"Electronic,Dance,Upbeat,All Weather,All Season,Youth/adult"
Isabella,Isabella,Camille,"=""00:03:38""",Pop,126,Camille - Isabella.mp3,2025,English,1,"CNR Records, CNR Records NV",1,0,"Electronic,House,Upbeat,All Weather,All Season,Youth/adult"
Kleur,SOS,Camille,"=""00:02:58""",Pop,88,Camille - Kleur.mp3,2022,English,1,Camille,1,0,"Electronic,Indie,Energetic,All Weather,All Season,Youth/adult"
Magie,Magie,Camille,"=""00:03:14""",Pop,129,Camille - Magie.mp3,2023,English,1,Mostiko,1,0,"Electronic,House,Upbeat,All Weather,All Season,Youth/adult"
Oeh La La La,Oeh La La La,Camille,"=""00:03:12""",Pop,96,Camille - Oeh La La La.mp3,2024,English,1,"CNR Records, CNR Records NV",1,0,"Dance,Electronic,Upbeat,All Weather,All Season,Youth/adult"
Oostende,Oostende,Camille,"=""00:03:24""",Pop,106,Camille - Oostende.mp3,2025,English,1,CNR Records NV,1,0,"Electronic,Dance,Upbeat,All Weather,All Season,Youth/adult"
Rihanna,Rihanna,Camille,"=""00:03:28""",Pop,97,Camille - Rihanna.mp3,2023,English,1,"CNR Records, CNR Records NV",1,0,"Dance,Electronic,Upbeat,All Weather,All Season,Youth/adult"
Daar Gaat Ze,Hoezo?,Clouseau,"=""00:03:48""",Pop,87,Clouseau - Daar Gaat Ze.mp3,1989,English,1,Clouseau,1,0,"Soul,Mainstream,All Weather,All Season,Youth/adult"
"Geert Krijn - Braveheart (Adem in, adem uit)","Geert Krijn - Braveheart (Adem in, adem uit)",Geert Krijn,"=""00:03:38""",Rock,90,"Geert Krijn - Braveheart (Adem in, adem uit).mp3",2026,English,1,Geert Krijn,1,0,"Pop,Indie,Mainstream,All Weather,All Season,Youth/adult"
Dit Is Wat Mijn Mama Zei,Metejoor,Metejoor,"=""00:02:57""",Pop,118,Metejoor - Dit Is Wat Mijn Mama Zei.mp3,2021,English,1,Metejoor,1,0,"Electronic,Dance,Upbeat,All Weather,All Season,Youth/adult"
Eigen Schuld,Joris,Metejoor,"=""00:03:14""",Pop,137,Metejoor - Eigen Schuld.mp3,2023,English,1,Metejoor,1,0,"Indie,Rock,Mainstream,All Weather,All Season,Youth/adult"
Groot,Groot,Metejoor,"=""00:03:20""",Pop,120,Metejoor - Groot.mp3,2024,English,1,"FruityLabel, FruityLabel, CNR Records NV",1,0,"Dance,Upbeat,All Weather,All Season,Youth/adult"
Nachtregen,Nachtregen,Metejoor,"=""00:03:18""",Pop,150,Metejoor - Nachtregen.mp3,2025,English,1,FruityLabel,1,0,"Rock,Indie,Dance,Upbeat,All Weather,All Season,Youth/adult"
Ze Meent Het,Metejoor,Metejoor,"=""00:03:04""",Pop,112,Metejoor - Ze Meent Het.mp3,2021,English,1,Metejoor,1,0,"Electronic,Energetic,All Weather,All Season,Youth/adult"
Speeltijd,Hits van hier: Het beste van 2016,Niels Destadsbader,"=""00:03:28""",Pop,137,Niels Destadsbader - Speeltijd.mp3,2016,English,1,CNR Records Belgium,1,0,"Indie,Mainstream,All Weather,All Season,Youth/adult"
Atlas,Atlas,Pommelien Thijs,"=""00:03:19""",Pop,120,Pommelien Thijs - Atlas.mp3,2025,English,1,"Sony Music, Gedoe BV, Sony Music Entertainment (Belgium) nv/sa",1,0,"Dance,Upbeat,All Weather,All Season,Youth/adult"
Ben je klaar,Gedoe,Pommelien Thijs,"=""00:03:55""",Pop,165,Pommelien Thijs - Ben je klaar.mp3,2025,English,1,Pommelien Thijs,1,0,"Rock,Indie,Dance,Upbeat,All Weather,All Season,Youth/adult"
Erop Of Eronder,Erop of Eronder,Pommelien Thijs,"=""00:02:45""",Pop,90,Pommelien Thijs - Erop Of Eronder.mp3,2023,English,1,"Sony Music, Sony Music Entertainment (Belgium) nv/sa",1,0,"Rock,Electronic,Dance,Indie,Upbeat,All Weather,All Season,Youth/adult"
Het Beste Moet Nog Komen,Het Beste Moet Nog Komen,Pommelien Thijs,"=""00:03:44""",Pop,100,Pommelien Thijs - Het Beste Moet Nog Komen.mp3,2024,English,1,"Sony Music, Sony Music Entertainment (Belgium) nv/sa",1,0,"Electronic,Rock,Indie,Energetic,All Weather,All Season,Youth/adult"
Meisjes Van Honing,Meisjes Van Honing,Pommelien Thijs,"=""00:03:06""",Pop,80,Pommelien Thijs - Meisjes Van Honing.mp3,2021,English,1,"Sony Music, Sony Music Entertainment (Belgium) nv/sa",1,0,"Electronic,Indie,Rock,Energetic,All Weather,All Season,Youth/adult"
Wat Een Idee!,Wat Een Idee!?,Pommelien Thijs,"=""00:02:55""",Pop,155,Pommelien Thijs - Wat Een Idee!.mp3,2022,English,1,"Sony Music, Sony Music Entertainment (Belgium) nv/sa",1,0,"Rock,Indie,Electronic,Alternative,Energetic,All Weather,All Season,Youth/adult"
Het midden,Liefde Onderschat,"Pommelien Thijs, MEAU","=""00:02:53""",Pop,144,"Pommelien Thijs, MEAU - Het midden.mp3",2024,English,1,"Pommelien Thijs, MEAU",1,0,"Electronic,Dance,Upbeat,All Weather,All Season,Youth/adult"
Vergeet De Tijd,MNM Big Hits: Best of 2020,Regi & Camille,"=""00:03:14""",Dance,130,Regi & Camille - Vergeet De Tijd.mp3,2020,English,1,Regi & Camille,1,0,"Pop,Electronic,House,Upbeat,All Weather,All Season,Youth/adult"
"Horen, Zien En Zwijgen","Horen, Zien En Zwijgen",Regi feat. Maxine,"=""00:03:03""",Dance,136,"Regi feat. Maxine - Horen, Zien En Zwijgen.mp3",2023,English,1,"Mostiko, CNR Records NV",1,0,"Electronic,Upbeat,All Weather,All Season,Youth/adult"
het huis dat tussen rozen stond,Tien,Sanne,"=""00:03:56""",Pop,118,Sanne - het huis dat tussen rozen stond.mp3,2000,English,1,Sanne,1,0,"Mainstream,All Weather,All Season,Youth/adult"
