title,album,artist,time,genre,tempo,filename,year,language,isDL,label,vocal,instrumental,tag
I’m Not in Love,I'm Not In Love,10cc,"=""00:05:11""",Pop,135,10cc - I'm Not In Love (Ben Liebrand Remix '88 Remix) (1080).mp4,1975,English,1,Mercury,1,0,"Pop Rock,Mainstream"
100 Years Ago (Lyrics),Mickboy Remasters: Dancing So Free (Goats Head Soup Album),The Rolling Stones,"=""00:03:56""",Rock,99,The Rolling Stones - 100 Years Ago (Lyrics).mp4,1983,English,1,SMC,1,0,Energetic
Angry,Hackney Diamonds,The Rolling Stones,"=""00:03:45""",Rock,112,The Rolling Stones - Angry (1080).mp4,2023,English,1,Polydor,1,0,Energetic
Don't Stop (Lyrics),"2003-07-30: Toronto, ON, Canada",The Rolling Stones,"=""00:03:28""",Rock,129,The Rolling Stones - Don't Stop (Lyrics).mp4,2020,English,1,SMC,1,0,Energetic
Jumpin' Jack Flash,Hot Rocks 1964-1971,The Rolling Stones,"=""00:03:42""",Rock,137,The Rolling Stones - Jumpin' Jack Flash (1080).mp4,1968,English,1,ABKCO,1,0,Energetic
Living in the Heart of Love,Living In The Heart Of Love,The Rolling Stones,"=""00:04:12""",Rock,132,The Rolling Stones - Living In The Heart Of Love (1080).mp4,2021,English,1,Universal Music,1,0,Energetic
Mess It Up,Hackney Diamonds,The Rolling Stones,"=""00:04:02""",Rock,123,The Rolling Stones - Mess It Up (1080).mp4,2023,English,1,Polydor,1,0,Energetic
Miss You,Live in 1989: Steel Wheels U.S. Tour,The Rolling Stones,"=""00:03:23""",Rock,110,The Rolling Stones - Miss You.mp4,1978,English,1,SMC,1,0,Energetic
Mixed Emotions,Mixed Emotions / My First Night Without You,The Rolling Stones,"=""00:04:00""",Rock,136,The Rolling Stones - Mixed Emotions (1080).mp4,1989,English,1,CBS,1,0,Energetic
Ride 'Em On Down,Blue & Lonesome,The Rolling Stones,"=""00:02:49""",Blues,112,The Rolling Stones - Ride 'Em On Down.mp4,2016,English,1,"Polydor, Rolling Stones Records",1,0,
Rolling Stone Blues (Lyrics),Hackney Diamonds,The Rolling Stones,"=""00:02:40""",Rock,89,The Rolling Stones - Rolling Stone Blues (Lyrics).mp4,2023,English,1,Polydor,1,0,Energetic
Scarlet,Scarlet,The Rolling Stones,"=""00:03:45""",Rock,172,The Rolling Stones - Scarlet (1080).mp4,2020,English,1,Universal Music,1,0,"Rock & Roll,Classic Rock,Energetic"
Start Me Up,Live in 1989: Steel Wheels U.S. Tour,The Rolling Stones,"=""00:03:27""",Rock,122,The Rolling Stones - Start Me Up (1080).mp4,1981,English,1,SMC,1,0,Energetic
Sympathy for the Devil,The Rolling Stones Rock and Roll Circus,The Rolling Stones,"=""00:06:20""",Rock,111,The Rolling Stones - Sympathy For The Devil (1080).mp4,1996,English,1,ABKCO,1,0,Energetic
The Last Time,Du fond du cœur: Live 1965-1967,The Rolling Stones,"=""00:03:34""",Rock,83,The Rolling Stones - The Last Time (1080).mp4,1965,English,1,SMC,1,0,Energetic
